ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus2,URL
AAL91012,10798,Human parvovirus B19,AY083234.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY083234.1
YP_004678720,1045778,Helicoverpa armigera densovirus,NC_015718.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_015718.1
ACD37375,10786,Feline panleukopenia virus,EU659111.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Carnivore protoparvovirus 1,Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/EU659111.1
AEX30511,1131622,Porcine bocavirus 5/JS677,JN831651.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Porcine bocavirus 5,Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JN831651.1
AAO32086,219704,Avian adeno-associated virus ATCC VR-865,AY186198.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependovirus,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY186198.1
ADM26648,1511922,Chimpanzee parv4,HQ113143.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/HQ113143.1
ACF94533,1511921,Human parv4 G3 (NG-OR),EU874248.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/EU874248.1
ABK00521,1511920,Human parv4 G2 (C25-5),DQ873391.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/DQ873391.1
AAU88153,1511919,Human parvovirus 4 G1,AY622943.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY622943.1
ADM26648,1511922,Chimpanzee parv4,HQ113143.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/HQ113143.1
AAU88153,1511919,Human parvovirus 4 G1,AY622943.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY622943.1
ABK00521,1511920,Human parv4 G2 (C25-5),DQ873391.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/DQ873391.1
ACF94533,1511921,Human parv4 G3 (NG-OR),EU874248.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/EU874248.1
AAC40229,10796,Porcine parvovirus,U44978.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 1,Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U44978.1
AEQ76796,1096142,Ovine hokovirus,JF504699.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 4,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JF504699.1
ABY67682,494651,Bovine hokovirus 1,EU200669.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/EU200669.1
AAL09673,172297,Bovine parvovirus 3,AF406967.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Ungulate erythroparvovirus 1,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF406967.1
AAA66612,28314,Aleutian mink disease virus,M20036.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1,Amdoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/M20036.1
AID57413,1513315,Raccoon dog amdovirus,KJ396347.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus,Amdoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KJ396347.1
ADP36995,912967,Bocavirus pig/SX/China/2010,HQ223038.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX,Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/HQ223038.1
ABY67706,494652,Porcine hokovirus,EU200677.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/EU200677.1
AEI99166,1511887,Porcine bocavirus H18,HQ291308.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 4,Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/HQ291308.1
AIC77176,1507809,Tumor virus X,KJ631100.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KJ631100.1
AEP95278,1093101,Gray fox amdovirus,JN202450.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 2,Amdoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JN202450.1
AGW95844,1399967,Pigeon parvovirus A,KC876004.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KC876004.1
AAA83224,37325,Muscovy duck parvovirus,U22967.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U22967.1
AAA83229,38251,Goose parvovirus,U25749.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U25749.1
AAA83224,37325,Muscovy duck parvovirus,U22967.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U22967.1
AAA83229,38251,Goose parvovirus,U25749.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U25749.1
AAN03856,202813,Adeno-associated virus - 8,AF513852.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF513852.1
AAN03854,202812,Adeno-associated virus - 7,AF513851.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF513851.1
AAD27758,85106,Adeno-associated virus - 1,AF063497.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF063497.1
AAN03854,202812,Adeno-associated virus - 7,AF513851.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF513851.1
AAT46336,235456,Adeno-associated virus 10,AY631965.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY631965.1
AAB95451,68742,Adeno-associated virus 3B,AF028705.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF028705.1
AAC58044,57579,Adeno-associated virus - 4,U89790.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U89790.1
AAC03775,10804,Adeno-associated virus - 2,AF043303.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF043303.1
ABI16638,235458,Adeno-associated virus 12,DQ813647.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/DQ813647.1
ADD17085,727962,Bat adeno-associated virus YNM,GU226971.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependovirus,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/GU226971.1
AAR26464,256548,Bovine adeno-associated virus,AY388617.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY388617.1
AAD13755,82300,Adeno-associated virus - 5,AF085716.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF085716.1
AEM37643,1073950,California sea lion adeno-associated virus 1,JN420372.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JN420372.1
ADB20207,707546,Porcine parvovirus 4,GQ387499.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2,Copiparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/GQ387499.1
AIZ50117,1581151,Slow loris parvovirus 1,KP120516.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KP120516.1
YP_271915,1513204,Penaeus monodon hepandensovirus 1,NC_007218.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Hepandensovirus;Decapod hepandensovirus 1,Hepandensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_007218.1
YP_227600,185639,Acheta domestica densovirus,NC_004290.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_004290.1
NP_694843,159153,Planococcus citri densovirus,NC_004289.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Hemipteran ambidensovirus 1,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_004289.1
AIQ82699,340016,uncultured virus,KM052275.1,Viruses;environmental samples,,http://www.ncbi.nlm.nih.gov/nuccore/KM052275.1
AAR07954,252602,Snake adeno-associated virus,AY349010.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1,Dependoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY349010.1
YP_007003823,185637,Pseudoplusia includens densovirus,NC_019492.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Lepidopteran ambidensovirus 1;Junonia coenia densovirus,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_019492.1
AIE58040,1519097,Sesavirus CSL10538,KM035804.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KM035804.1
YP_002887625,185638,Culex pipiens densovirus,NC_012685.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Dipteran ambidensovirus 1,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_012685.1
AFK91980,1045778,Helicoverpa armigera densovirus,JQ894784.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5,Iteradensovirus,http://www.ncbi.nlm.nih.gov/nuccore/JQ894784.1
NP_051020,97344,Periplaneta fuliginosa densovirus,NC_000936.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Blattodean ambidensovirus 1,Ambidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_000936.1
AAL09671,172296,Bovine parvovirus - 2,AF406966.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1,Copiparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF406966.1
