ABI16638__DQ813647.1,DQ813647.1_Adeno-associated virus 12,235458,Adeno-associated virus 12,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,DQ813647.1,Adeno-associated dependoparvovirus A,Adeno-associated virus - 4,DQ813647.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,ABI16638,DQ813647.1
ADD17085__GU226971.1,GU226971.1_Bat adeno-associated virus YNM,727962,Bat adeno-associated virus YNM,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Chiropteran dependoparvovirus 1,GU226971.1,Chiropteran dependoparvovirus 1,Chiropteran dependoparvovirus 1,GU226971.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Chiropteran dependoparvovirus 1,ADD17085,GU226971.1
AAD13755__AF085716.1,AF085716.1_Adeno-associated virus - 5,82300,Adeno-associated virus - 5,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,AF085716.1,Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,AF085716.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,AAD13755,AF085716.1
AAR26464__AY388617.1,AY388617.1_Bovine adeno-associated virus,256548,Bovine adeno-associated virus,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,AY388617.1,Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,AY388617.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus B,AAR26464,AY388617.1
AEM37643__JN420372.1,JN420372.1_California sea lion adeno-associated virus 1,1073950,California sea lion adeno-associated virus 1,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1,JN420372.1,Pinniped dependoparvovirus 1,Pinniped dependoparvovirus 1,JN420372.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Pinniped dependoparvovirus 1,AEM37643,JN420372.1
ADB20207__GQ387499.1,GQ387499.1_Porcine parvovirus 4,707546,Porcine parvovirus 4,Viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2,GQ387499.1,Ungulate copiparvovirus 2,Ungulate copiparvovirus 2,GQ387499.1_Viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2,ADB20207,GQ387499.1
AIZ50117__KP120516.1,KP120516.1_Slow loris parvovirus 1,1581151,Slow loris parvovirus 1,Viruses;Parvoviridae;unclassified Parvoviridae,KP120516.1,undef,unclassified Parvoviridae,KP120516.1_Viruses;Parvoviridae;unclassified Parvoviridae,AIZ50117,KP120516.1
AAR07954__AY349010.1,AY349010.1_Snake adeno-associated virus,252602,Snake adeno-associated virus,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1,AY349010.1,Squamate dependoparvovirus 1,Squamate dependoparvovirus 1,AY349010.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1,AAR07954,AY349010.1
AIE58040__KM035804.1,KM035804.1_Sesavirus CSL10538,1519097,Sesavirus CSL10538,Viruses;Parvoviridae;unclassified Parvoviridae,KM035804.1,undef,unclassified Parvoviridae,KM035804.1_Viruses;Parvoviridae;unclassified Parvoviridae,AIE58040,KM035804.1
AAL09671__AF406966.1,AF406966.1_Bovine parvovirus - 2,172296,Bovine parvovirus - 2,Viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1,AF406966.1,Ungulate copiparvovirus 1,Ungulate copiparvovirus 1,AF406966.1_Viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1,AAL09671,AF406966.1
YP_009508797__KU321654,KU321654_Miniopterus schreibersii bat bocavirus,1911554,Miniopterus schreibersii bat bocavirus,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 4,KU321654,Chiropteran bocaparvovirus 4,Chiropteran bocaparvovirus 4,KU321654_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 4,YP_009508797,KU321654
